target_username,cluster,language,priority,target_kind,permission_state,send_allowed,notes
@zerocoders,no-code_ai,RU,A,public_group,current_check_required,UNKNOWN,Large no-code and AI community; verify current rules before send
@chat_GPT_zerocoder,chatgpt_ai,RU,A,public_group,current_check_required,UNKNOWN,ChatGPT community; high product fit
@n8n_community,automation_ai,RU,A,public_group,current_check_required,UNKNOWN,n8n automation community; high workflow fit
@bothub_chat,multi_ai,RU,A,public_group,current_check_required,UNKNOWN,ChatGPT Claude Gemini community; direct cross-AI fit
@ai_community_dev,ai_agents_dev,RU,A,public_group,current_check_required,UNKNOWN,AI agents LLM Cursor Claude Codex n8n community
@integromat_russia,automation,RU,A,public_group,current_check_required,UNKNOWN,Make automation community
@cursor_community_zerocoder,ai_coding,RU,A,public_group,current_check_required,UNKNOWN,Cursor AI community
@vibe_coders_zerocoder,ai_coding,RU,A,public_group,current_check_required,UNKNOWN,Vibe coding community
@supabase_zerocoder,developer_tools,RU,B,public_group,current_check_required,UNKNOWN,Developer community; adjacent productivity audience
@aigeochat,ai_marketing,RU,B,public_group,current_check_required,UNKNOWN,AI and GEO marketing community
@vibe_marketing_zerocoder,ai_marketing,RU,B,public_group,current_check_required,UNKNOWN,AI marketing community
@ai_community_chat,ai_business,RU,B,public_group,current_check_required,UNKNOWN,AI business community
@iMe_ai,telegram_ai,RU,B,public_group,current_check_required,UNKNOWN,Telegram client and automation-adjacent community
@claudesg,claude_ai,EN,B,public_group,current_check_required,UNKNOWN,Claude-focused English community; use EN copy only
