channel,type,status,route,notes
The Rundown AI,newsletter/editorial,sent,email:support@therundown.ai,Official free Recommend a Tool intake
TechCrunch,media/news,sent,email:tips@techcrunch.com,News tip only
FREEMAX,RU AI media/Telegram,sent,email:contact@freemax.red,Free news suggestion only
Launch Llama,startup/newsletter,sent,email:contact@launchllama.co,Free listing/newsletter consideration
AI Catchup,AI media/newsletter,sent,email:hello@news.aicatchup.com,Editorial story tip
AI News HQ,AI media,sent,email:editorial intake,Editorial pitch
VentureBeat,media/news,sent,email:tips@venturebeat.com,AI/product news tip
AI Valley,AI directory/newsletter,sent,email:community@aivalley.io,Free tool/newsletter submission
AI Valley / aivalley.ai,AI directory,recovery_email_sent_after_form_mail_failed,email:barsee@aivalley.ai,Official web form reached Contact Form 7 but returned mail_failed; one recovery email sent to official site address; no duplicate form retry
RankVipAI,AI editorial,sent,email:contact@rankvipai.com,Editorial consideration only
Neuro Automata,RU AI media multi-platform,sent,email:neuroautoinfo@gmail.com,Telegram/YouTube/VK/Dzen/Rutube/X editorial contact
ToolWise,AI directory/editorial,recovery_sent_after_bounce,email:hello@toolwise.ai,Original editorial@toolwise.ai bounced; one recovery only
FindMyAITool,AI directory,sent,email intake,Free/basic only
Humbaa,AI directory,sent,email intake,Free/basic only
Unisender Konvert,RU media/editorial,sent,editorial email,Neural-networks editorial pitch
YouTube creator 1,creator/video,sent,public business email,Targeted AI-tool/browser-extension review pitch
YouTube creator 2,creator/video,sent,public business email,Targeted AI-tool/browser-extension review pitch
YouTube creator 3,creator/video,sent,public business email,Targeted AI-tool/browser-extension review pitch
ToolLibraryOnline,AI directory,sent,email:contact@toollibraryonline.com,Manual review request with direct store URLs
WeCanUseAI,AI directory,sent,email:contact@wecanuseai.com,Free standard listing only
ThinkAI.tools,AI directory/editorial,sent,email:thinkai.tools@gmail.com,Unpaid editorial review only
AITrendTool,AI directory/editorial,sent,email:hello@aitrendtool.com,Free editorial review; no paid tier requested
Console.dev,developer editorial,received_auto_review_ack,email:hello@console.dev,Submission received for newsletter review; no publication claimed
Last Week in AI,AI newsletter/podcast,sent,email:contact@lastweekinai.com,Tools & Apps news tip
We Compare AI,AI directory/editorial,bounced,email:submissions@wecompareai.com,Mailbox invalid; do not retry without verified route
PitchWall,startup/media,sent,email:support@pitchwall.co,Educational guest-post pitch with affiliation disclosure
ReadInBrief,AI media/editorial,paid_offer_declined_unpaid_route_offered,email:hello@readinbrief.com,They offered paid editorial collaboration; paid route declined and unpaid editorial option offered
WorthTryingAI,AI editorial,bounced,email:hello@worthtryingai.com,Delivery failed; do not retry without verified route
TechRadar / Becca Caddy,consumer AI media/editorial,sent_2026-08-30,email:becca@beccacaddy.com,Consumer multi-AI continuity angle; unpaid editorial only; do not repeat unless replied
Kevin Stratvert,consumer AI creator/video,sent_2026-08-30,email:website@kevinstratvert.com,Tutorial angle for ordinary users starting a fresh ChatGPT Claude or Gemini chat without re-explaining; unpaid only; do not repeat unless replied
Utsav Techie,consumer AI creator/video,bounced_dead_public_address_2026-08-30,email:contact.utsavtechie@enlyft.in,550 No Such User; do not retry the same address; only use a newly verified official route if found
The Neuron,consumer AI newsletter/editorial,sent_2026-08-30,email:team@theneurondaily.com,Pitched for normal-person AI tool coverage around stopping repeated project explanations; unpaid only; do not repeat unless replied
HackerNoon,media/editorial,bounced,email:stories@hackernoon.com,Mailbox invalid; official route is account-based Submit Story for Review
TheTopAIGear,AI directory,bounced,email:aitool@thetopaigear.com,Mailbox invalid; do not retry without verified official route
AI Breakfast,newsletter,bounced,email:aibreakfast@mail.beehiiv.com,Mailbox invalid; do not retry
OpenSource.com,open-source media,bounced,email:open@opensource.com,Old mailbox invalid; do not retry
ToolWise original,AI directory/editorial,bounced,email:editorial@toolwise.ai,Recovered once via official hello@toolwise.ai
AI for Developers,GitHub curated developer list,blocked_403,GitHub issue route,Rules explicitly invite issues but integration cannot write; not submitted
PromptFrenzy,AI directory,blocked_external_badge_fetch,API POST,Attempt 3 reached POST then HTTP 400 badge verification failed because their server could not fetch sync.magla.ru
Chrome Web Store update,store,blocked_missing_credentials,GitHub store-submit workflow,CWS_CLIENT_ID CWS_CLIENT_SECRET CWS_REFRESH_TOKEN CWS_PUBLISHER_ID absent; no upload
Firefox Add-ons update,store,blocked_missing_credentials,GitHub store-submit workflow,AMO_JWT_ISSUER and AMO_JWT_SECRET absent; no upload
